whitefly_ID	species	pop_geo	pop_geo_env	collection_date	latitude	longitude	environment	host_plant	insecticide_treat	insecticide_list	H06	MS145	P59	P7	D04	P5	G03	SSA13	SSA2	SSA41	SSA6	mut_L925I	mut_T929V	MeIo_clust1	MeIo_clust2	Med_clust1	Med_clust2	Med_clust3
P10x10	IO	G14	GE17	11-oct-16	-21.273225	55.37322778	Non-cultivated	Weeds	No		161161	180180	179179	181187	103123	212216	160160	261261	103103	228228	125125	L925/L925	NA	0.003	0.997			
P10x11	Hybride	G14	GE17	11-oct-16	-21.273225	55.37322778	Non-cultivated	Weeds	No		161161	176180	183183	183183	103103	212212	150160	261261	103103	228228	125127	L925/L925	T929/T929	0.213	0.787			
P10x12	IO	G14	GE17	11-oct-16	-21.273225	55.37322778	Non-cultivated	Weeds	No		161169	174176	179179	181181	123123	212216	160160	261261	103103	242250	127127	L925/L925	NA	0.002	0.998			
P10x13	IO	G14	GE17	11-oct-16	-21.273225	55.37322778	Non-cultivated	Weeds	No		161169	176180	179193	181181	0	212212	160160	261261	103103	228228	125127	L925/L925	NA	0.005	0.995			
P10x14	IO	G14	GE17	11-oct-16	-21.273225	55.37322778	Non-cultivated	Weeds	No		161169	180180	179193	181189	103103	212216	160160	261261	103103	228228	125125	L925/L925	NA	0.003	0.997			
P10x15	IO	G14	GE17	11-oct-16	-21.273225	55.37322778	Non-cultivated	Weeds	No		161169	176176	193193	189189	103125	210212	160160	261261	103103	228228	125125	L925/L925	T929/T929	0.003	0.997			
P10x16	IO	G14	GE17	11-oct-16	-21.273225	55.37322778	Non-cultivated	Weeds	No		161169	180180	179179	181181	103123	212216	160160	261261	103103	228242	125127	L925/L925	NA	0.002	0.998			
P10x17	IO	G14	GE17	11-oct-16	-21.273225	55.37322778	Non-cultivated	Weeds	No		161169	180180	183193	181189	0	212216	160160	261261	103103	250250	125125	L925/L925	NA	0.004	0.996			
P10x18	IO	G14	GE17	11-oct-16	-21.273225	55.37322778	Non-cultivated	Weeds	No		161161	180180	179183	189189	103125	212212	150160	261261	103103	228228	125127	L925/L925	NA	0.006	0.994			
P10x19	IO	G14	GE17	11-oct-16	-21.273225	55.37322778	Non-cultivated	Weeds	No		161165	176180	179179	181189	103123	212216	160166	261261	103103	228228	127127	L925/L925	NA	0.002	0.998			
P10x1	IO	G14	GE17	11-oct-16	-21.273225	55.37322778	Non-cultivated	Weeds	No		165169	180180	179193	181181	103123	212212	160160	261261	103103	242228	125125	L925/L925	NA	0.004	0.996			
P10x20	IO	G14	GE17	11-oct-16	-21.273225	55.37322778	Non-cultivated	Weeds	No		161169	180180	179193	189189	123123	226226	160160	261261	103103	228228	125125	L925/L925	NA	0.003	0.997			
P10x21	IO	G14	GE17	11-oct-16	-21.273225	55.37322778	Non-cultivated	Weeds	No		169169	176180	179183	181189	103103	212216	160160	261261	103103	228228	125127	L925/L925	NA	0.004	0.996			
P10x26	IO	G14	GE17	11-oct-16	-21.273225	55.37322778	Non-cultivated	Weeds	No		161169	176176	179193	181189	103123	216216	160160	261261	103103	228228	125125	L925/L925	NA	0.003	0.997			
P10x27	IO	G14	GE17	11-oct-16	-21.273225	55.37322778	Non-cultivated	Weeds	No		169169	176176	179193	181189	121131	216216	160160	261261	103103	228228	125125	L925/L925	NA	0.003	0.997			
P10x2	IO	G14	GE17	11-oct-16	-21.273225	55.37322778	Non-cultivated	Weeds	No		161169	176176	179183	181187	103125	216216	150160	261261	103103	228228	125125	L925/L925	NA	0.005	0.995			
P10x3	IO	G14	GE17	11-oct-16	-21.273225	55.37322778	Non-cultivated	Weeds	No		161169	176180	179179	181181	103123	212216	150160	261261	103103	228242	125127	L925/L925	NA	0.003	0.997			
P10x4	IO	G14	GE17	11-oct-16	-21.273225	55.37322778	Non-cultivated	Weeds	No		161169	180180	179193	181189	103123	212212	160160	261261	103103	228228	125127	NA	NA	0.003	0.997			
P10x5	MEAM1	G14	GE17	11-oct-16	-21.273225	55.37322778	Non-cultivated	Weeds	No		181189	216218	185205	183183	139161	212212	160160	251251	103103	228228	125125	I925/I925	NA	0.998	0.002			
P10x6	MEAM1	G14	GE17	11-oct-16	-21.273225	55.37322778	Non-cultivated	Weeds	No		169169	216216	183201	183183	139161	212212	160160	219251	103103	228228	125125	I925/I925	NA	0.997	0.003			
P10x7	IO	G14	GE17	11-oct-16	-21.273225	55.37322778	Non-cultivated	Weeds	No		161169	180180	179193	181181	103123	210210	160160	261261	103103	228242	125127	L925/L925	NA	0.002	0.998			
P10x8	MEAM1	G14	GE17	11-oct-16	-21.273225	55.37322778	Non-cultivated	Weeds	No		169189	216222	201183	183183	157161	212212	150160	251251	103103	228228	125125	I925/I925	NA	0.998	0.002			
P10x9	IO	G14	GE17	11-oct-16	-21.273225	55.37322778	Non-cultivated	Weeds	No		161161	176180	193179	181181	103123	216216	160160	261261	103103	242242	127127	L925/L925	NA	0.002	0.998			
P11x10	MEAM1	G23	GE32	11-oct-16	-21.31060278	55.50750556	Greenhouse	Eggplant	Yes	PY-C,PYR	185185	216218	175213	183183	153153	212212	160160	251251	103103	228228	125125	I925/I925	NA	0.998	0.002			
P11x11	MEAM1	G23	GE32	11-oct-16	-21.31060278	55.50750556	Greenhouse	Eggplant	Yes	PY-C,PYR	169185	216216	203203	181189	149161	212212	160160	251251	103103	228228	125127	NA	NA	0.986	0.014			
P11x12	MEAM1	G23	GE32	11-oct-16	-21.31060278	55.50750556	Greenhouse	Eggplant	Yes	PY-C,PYR	185189	216218	175213	183183	157161	212212	150160	251251	103103	228228	125125	I925/I925	NA	0.998	0.002			
P11x13	MEAM1	G23	GE32	11-oct-16	-21.31060278	55.50750556	Greenhouse	Eggplant	Yes	PY-C,PYR	185185	216216	183183	181183	161161	212212	160160	251251	103103	228228	125125	I925/I925	NA	0.997	0.003			
P11x14	MEAM1	G23	GE32	11-oct-16	-21.31060278	55.50750556	Greenhouse	Eggplant	Yes	PY-C,PYR	169185	220220	175201	183183	157157	212212	160160	251251	103103	228228	125125	I925/I925	NA	0.998	0.002			
P11x15	MEAM1	G23	GE32	11-oct-16	-21.31060278	55.50750556	Greenhouse	Eggplant	Yes	PY-C,PYR	173185	216218	183203	183183	139149	212212	160160	251251	103103	228228	125125	I925/I925	NA	0.998	0.002			
P11x16	MEAM1	G23	GE32	11-oct-16	-21.31060278	55.50750556	Greenhouse	Eggplant	Yes	PY-C,PYR	169185	218218	183195	181183	157161	212212	160160	251251	103103	228228	125125	I925/I925	NA	0.996	0.004			
P11x17	MEAM1	G23	GE32	11-oct-16	-21.31060278	55.50750556	Greenhouse	Eggplant	Yes	PY-C,PYR	169181	216216	175213	181181	123139	212212	160160	251251	103103	228228	125125	I925/I925	NA	0.988	0.012			
P11x18	MEAM1	G23	GE32	11-oct-16	-21.31060278	55.50750556	Greenhouse	Eggplant	Yes	PY-C,PYR	169185	216218	183203	181183	161161	212212	160160	251251	103103	228228	125125	I925/I925	NA	0.997	0.003			
P11x19	MEAM1	G23	GE32	11-oct-16	-21.31060278	55.50750556	Greenhouse	Eggplant	Yes	PY-C,PYR	169169	218218	175183	181181	139161	212212	160160	251251	103103	228228	125125	I925/I925	NA	0.995	0.005			
P11x1	MEAM1	G23	GE32	11-oct-16	-21.31060278	55.50750556	Greenhouse	Eggplant	Yes	PY-C,PYR	185185	218218	201201	171183	139165	212212	160160	251251	103103	228228	125125	I925/I925	NA	0.998	0.002			
P11x20	MEAM1	G23	GE32	11-oct-16	-21.31060278	55.50750556	Greenhouse	Eggplant	Yes	PY-C,PYR	169185	218218	175183	183181	161161	212212	160160	251251	103103	228228	125125	I925/I925	NA	0.997	0.003			
P11x21	MEAM1	G23	GE32	11-oct-16	-21.31060278	55.50750556	Greenhouse	Eggplant	Yes	PY-C,PYR	185189	216216	201207	181181	157161	212212	160160	251251	103103	228228	125125	I925/I925	NA	0.997	0.003			
P11x22	MEAM1	G23	GE32	11-oct-16	-21.31060278	55.50750556	Greenhouse	Eggplant	Yes	PY-C,PYR	173173	216218	183201	183195	161161	212212	160160	251251	103103	228228	125125	I925/I925	NA	0.998	0.002			
P11x23	MEAM1	G23	GE32	11-oct-16	-21.31060278	55.50750556	Greenhouse	Eggplant	Yes	PY-C,PYR	185185	216218	193201	181181	139161	212212	160160	251251	103103	228228	125125	I925/I925	NA	0.984	0.016			
P11x24	MEAM1	G23	GE32	11-oct-16	-21.31060278	55.50750556	Greenhouse	Eggplant	Yes	PY-C,PYR	169185	218218	183207	181181	161161	212212	160160	251251	103103	228228	125125	I925/I925	NA	0.996	0.004			
P11x25	MEAM1	G23	GE32	11-oct-16	-21.31060278	55.50750556	Greenhouse	Eggplant	Yes	PY-C,PYR	185189	216216	183203	183183	139139	212212	160160	251251	103103	228228	125125	I925/I925	NA	0.998	0.002			
P11x27	MEAM1	G23	GE32	11-oct-16	-21.31060278	55.50750556	Greenhouse	Eggplant	Yes	PY-C,PYR	169169	216216	185213	183183	161161	212212	160160	251251	103103	228228	125125	I925/I925	NA	0.997	0.003			
P11x28	MEAM1	G23	GE32	11-oct-16	-21.31060278	55.50750556	Greenhouse	Eggplant	Yes	PY-C,PYR	169185	218218	175205	183183	153161	212212	160160	251251	103103	228228	125125	I925/I925	NA	0.998	0.002			
P11x29	MEAM1	G23	GE32	11-oct-16	-21.31060278	55.50750556	Greenhouse	Eggplant	Yes	PY-C,PYR	185189	216222	183207	183183	157161	212212	160160	251251	103103	228228	125125	I925/I925	NA	0.998	0.002			
P11x2	MEAM1	G23	GE32	11-oct-16	-21.31060278	55.50750556	Greenhouse	Eggplant	Yes	PY-C,PYR	173173	216218	183183	183183	149161	212212	150160	251251	103103	228228	125125	I925/I925	NA	0.998	0.002			
P11x30	MEAM1	G23	GE32	11-oct-16	-21.31060278	55.50750556	Greenhouse	Eggplant	Yes	PY-C,PYR	173185	216218	185201	183183	139161	212212	160160	251251	103103	228228	125125	I925/I925	NA	0.998	0.002			
P11x31	MEAM1	G23	GE32	11-oct-16	-21.31060278	55.50750556	Greenhouse	Eggplant	Yes	PY-C,PYR	169185	216218	183183	183183	139161	212214	160160	251251	103103	228228	125125	I925/I925	NA	0.998	0.002			
P11x32	MEAM1	G23	GE32	11-oct-16	-21.31060278	55.50750556	Greenhouse	Eggplant	Yes	PY-C,PYR	169185	218218	201207	183183	139153	212212	150160	251251	103103	228228	125125	I925/I925	NA	0.998	0.002			
P11x3	MEAM1	G23	GE32	11-oct-16	-21.31060278	55.50750556	Greenhouse	Eggplant	Yes	PY-C,PYR	169185	220220	183183	183183	157161	212212	160160	251251	103103	228228	125125	I925/I925	NA	0.998	0.002			
P11x4	MEAM1	G23	GE32	11-oct-16	-21.31060278	55.50750556	Greenhouse	Eggplant	Yes	PY-C,PYR	169185	216218	217205	181181	157161	212212	160160	251251	103103	228228	125125	I925/I925	NA	0.996	0.004			
P11x5	MEAM1	G23	GE32	11-oct-16	-21.31060278	55.50750556	Greenhouse	Eggplant	Yes	PY-C,PYR	169173	216218	183183	183183	161161	212212	160160	251251	103103	228228	125125	I925/I925	NA	0.998	0.002			
P11x7	MEAM1	G23	GE32	11-oct-16	-21.31060278	55.50750556	Greenhouse	Eggplant	Yes	PY-C,PYR	185189	216218	175205	183183	157157	212212	160160	251251	103103	228228	125125	I925/I925	NA	0.998	0.002			
P11x8	MEAM1	G23	GE32	11-oct-16	-21.31060278	55.50750556	Greenhouse	Eggplant	Yes	PY-C,PYR	173185	218218	175183	181183	149157	212212	160160	251251	103103	228228	127127	I925/I925	NA	0.989	0.011			
P11x9	MEAM1	G23	GE32	11-oct-16	-21.31060278	55.50750556	Greenhouse	Eggplant	Yes	PY-C,PYR	169189	216218	183203	183183	139165	212212	160160	251251	103103	228228	125125	I925/I925	NA	0.998	0.002			
P12x10	MEAM1	G4	GE5	12-oct-16	-21.02043889	55.30875833	Greenhouse	Tomato	Yes	AVE,NEO,PY-C	173181	216216	203213	179183	157161	212212	160160	251251	103103	228228	125125	I925/I925	NA	0.998	0.002			
